"DOTA_Tooltip_ability_antimage_mana_break_custom"										"Mana Break"
"talent_disc_modifier_antimage_counter_4_1" "Каждый раз когда вы применяете или отражаете способность, вы наносите всем противникам неподалёку магический урон<br><br>Урон: <b><span class='green-text'>6%</span></b>/<b><font color='#297016'>10%</span></b> от вашего максимального здоровья"
"talent_disc_modifier_antimage_counter_4_2" "Каждый раз когда вы применяете или отражаете способность, вы наносите всем противникам неподалёку магический урон<br><br>Урон: <b><font color='#297016'>6%</span></b>/<b><span class='green-text'>10%</span></b> от вашего максимального здоровья"
"mini_disc_modifier_antimage_counter_4" "Применение и отражение способностей наносит магический урон"


"font_disc_modifier_antimage_counter_5" "19"
"upgrade_disc_modifier_antimage_counter_5_1" "Если противник совершит 2 атаки по щиту Counterspell, он получит оглушение на <b><span class='green-text'>1.2</span></b> секунды и магический урон, равный <b><span class='green-text'>10%</span></b> от вашего максимального здоровья"
"mini_disc_modifier_antimage_counter_5" "Counterspell оглушает за физические атаки"


"DOTA_Tooltip_modifier_antimage_counterspell_custom_heal_block"									"Counterspell"
"DOTA_Tooltip_modifier_antimage_counterspell_custom_heal_block_Description"						"Блокирует и отражает атаки"



"font_disc_modifier_antimage_counter_6" "19"
"upgrade_disc_modifier_antimage_counter_6_1" "Получая смертельный урон от заклинаний, вы восстанавливаете <b><span class='green-text'>20%</span></b> здоровья, а входящий по вам урон снижается на <b><span class='green-text'>50%</span></b> на 2 секунды<br><br>Перезарядка: 40 секунд"
"mini_disc_modifier_antimage_counter_6" "Получая смертельный урон от заклинаний, исцеляется"

"DOTA_Tooltip_modifier_antimage_counterspell_custom_heal_damage"									"Counterspell"
"DOTA_Tooltip_modifier_antimage_counterspell_custom_heal_damage_Description"						"Входящий урон снижен на <b><span class='green-text'>%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%</span></b>"


"DOTA_Tooltip_modifier_antimage_counterspell_custom_heal_cd"									"Counterspell"
"DOTA_Tooltip_modifier_antimage_counterspell_custom_heal_cd_Description"						"Перезарядка автоматического исцеление"






"font_disc_modifier_antimage_counter_7" "19"
"upgrade_disc_modifier_antimage_counter_7" "<b><span class='orange-text'>+0.5</span></b> секунд длительности Counterspell<br><br>Под действием Counterspell, вы получаете на <b><span class='orange-text'>80%</span></b> меньше урона"
"mini_disc_modifier_antimage_counter_7" "Counterspell снижает получаемый урон на 80%"



"DOTA_Tooltip_ability_antimage_mana_void_custom"										"Mana Void"
"DOTA_Tooltip_ability_antimage_mana_void_custom_Description"							"Кратковременно оглушает вражескую цель, а затем наносит ей и всем окружающим её противникам урон, пропорциональный числу отсутствующей у неё маны."
"DOTA_Tooltip_ability_antimage_mana_void_custom_Lore"									"Одолев врагов, борец с магией карает их за использование тайных искусств."
"DOTA_Tooltip_ability_antimage_mana_void_custom_Note0"									"Урон зависит от количества маны у цели, но наносится всем противникам в радиусе действия способности."
"DOTA_Tooltip_ability_antimage_mana_void_custom_mana_void_damage_per_mana"				"УРОН ЗА ЕДИНИЦУ МАНЫ:"
"DOTA_Tooltip_ability_antimage_mana_void_custom_mana_void_ministun"						"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
"DOTA_Tooltip_ability_antimage_mana_void_custom_mana_void_aoe_radius"					"РАДИУС:"


"DOTA_Tooltip_ability_antimage_spell_seal_custom"										"Spell Seal"
"DOTA_Tooltip_ability_antimage_spell_seal_custom_Description"							"Накладывает печать на выбранную цель<br><br>Если под действием печати, противник использует заклинание, он лишится %mana%%% маны и получит равное количество магического урона"
"DOTA_Tooltip_ability_antimage_spell_seal_custom_Lore"									"Одолев врагов, борец с магией карает их за использование тайных искусств."
"DOTA_Tooltip_ability_antimage_spell_seal_custom_duration"								"ДЛИТЕЛЬНОСТЬ ПЕЧАТИ:"
"DOTA_Tooltip_ability_antimage_spell_seal_custom_mana"									"%ПОТЕРЯ ОТ МАКС. МАНЫ:"




"font_disc_modifier_antimage_void_1" "22"
"upgrade_disc_modifier_antimage_void_1_1" "Урон Mana Void увеличивается на <b><span class='green-text'>10%</span></b> от максимальной маны противника"
"upgrade_disc_modifier_antimage_void_1_2" "Урон Mana Void увеличивается на <b><span class='green-text'>15%</span></b> от максимальной маны противника"
"upgrade_disc_modifier_antimage_void_1_3" "Урон Mana Void увеличивается на <b><span class='green-text'>20%</span></b> от максимальной маны противника"

"talent_disc_modifier_antimage_void_1_0" "Урон Mana Void увеличивается на <b><font color='#297016'>10%</span></b>/<b><font color='#297016'>15%</span></b>/<b><font color='#297016'>20%</span></b> от максимальной маны противника"
"talent_disc_modifier_antimage_void_1_1" "Урон Mana Void увеличивается на <b><span class='green-text'>10%</span></b>/<b><font color='#297016'>15%</span></b>/<b><font color='#297016'>20%</span></b> от максимальной маны противника"
"talent_disc_modifier_antimage_void_1_2" "Урон Mana Void увеличивается на <b><font color='#297016'>10%</span></b>/<b><span class='green-text'>15%</span></b>/<b><font color='#297016'>20%</span></b> от максимальной маны противника"
"talent_disc_modifier_antimage_void_1_3" "Урон Mana Void увеличивается на <b><font color='#297016'>10%</span></b>/<b><font color='#297016'>15%</span></b>/<b><span class='green-text'>20%</span></b> от максимальной маны противника"



"font_disc_modifier_antimage_void_2" "24"
"upgrade_disc_modifier_antimage_void_2_1" "<b><span class='green-text'>-20</span></b> секунд перезарядки Mana Void"
"upgrade_disc_modifier_antimage_void_2_2" "<b><span class='green-text'>-30</span></b> секунд перезарядки Mana Void"
"upgrade_disc_modifier_antimage_void_2_3" "<b><span class='green-text'>-40</span></b> секунд перезарядки Mana Void"

"talent_disc_modifier_antimage_void_2_0" "<b><font color='#297016'>-20</span></b>/<b><font color='#297016'>-30</span></b>/<b><font color='#297016'>-40</span></b> секунд перезарядки Mana Void"
"talent_disc_modifier_antimage_void_2_1" "<b><span class='green-text'>-20</span></b>/<b><font color='#297016'>-30</span></b>/<b><font color='#297016'>-40</span></b> секунд перезарядки Mana Void"
"talent_disc_modifier_antimage_void_2_2" "<b><font color='#297016'>-20</span></b>/<b><span class='green-text'>-30</span></b>/<b><font color='#297016'>-40</span></b> секунд перезарядки Mana Void"
"talent_disc_modifier_antimage_void_2_3" "<b><font color='#297016'>-20</span></b>/<b><font color='#297016'>-30</span></b>/<b><span class='green-text'>-40</span></b> секунд перезарядки Mana Void"


"font_disc_modifier_antimage_void_3" "20"
"upgrade_disc_modifier_antimage_void_3_1" "Противники рядом с вами пассивно получают магический урон каждую секунду<br><br>Урон: <b><span class='green-text'>3%</span></b> от максимальной маны противника"
"upgrade_disc_modifier_antimage_void_3_2" "Противники рядом с вами пассивно получают магический урон каждую секунду<br><br>Урон: <b><span class='green-text'>4.5%</span></b> от максимальной маны противника"
"upgrade_disc_modifier_antimage_void_3_3" "Противники рядом с вами пассивно получают магический урон каждую секунду<br><br>Урон: <b><span class='green-text'>6%</span></b> от максимальной маны противника"

"talent_disc_modifier_antimage_void_3_0" "Противники рядом с вами пассивно получают магический урон каждую секунду<br><br>Урон: <b><font color='#297016'>3%</span></b>/<b><font color='#297016'>4.5%</span></b>/<b><font color='#297016'>6%</span></b> от максимальной маны противника"
"talent_disc_modifier_antimage_void_3_1" "Противники рядом с вами пассивно получают магический урон каждую секунду<br><br>Урон: <b><span class='green-text'>3%</span></b>/<b><font color='#297016'>4.5%</span></b>/<b><font color='#297016'>6%</span></b> от максимальной маны противника"
"talent_disc_modifier_antimage_void_3_2" "Противники рядом с вами пассивно получают магический урон каждую секунду<br><br>Урон: <b><font color='#297016'>3%</span></b>/<b><span class='green-text'>4.5%</span></b>/<b><font color='#297016'>6%</span></b> от максимальной маны противника"
"talent_disc_modifier_antimage_void_3_3" "Противники рядом с вами пассивно получают магический урон каждую секунду<br><br>Урон: <b><font color='#297016'>3%</span></b>/<b><font color='#297016'>4.5%</span></b>/<b><span class='green-text'>6%</span></b> от максимальной маны противника"



"DOTA_Tooltip_modifier_antimage_mana_void_custom_aura_damage"									"Mana Void"
"DOTA_Tooltip_modifier_antimage_mana_void_custom_aura_damage_Description"						"Получает <b><font color='#ff0000'>%dMODIFIER_PROPERTY_TOOLTIP%</span></b> магического урона в секунду"


"font_disc_modifier_antimage_void_4" "20"
"upgrade_disc_modifier_antimage_void_4_1" "Каждая атака увеличивает максимальный запас маны цели на <b><span class='green-text'>4%</span></b> от вашей максимальной маны<br><br>Эффект суммируется 8 раз"
"upgrade_disc_modifier_antimage_void_4_2" "Каждая атака увеличивает максимальный запас маны цели на <b><span class='green-text'>6%</span></b> от вашей максимальной маны<br><br>Эффект суммируется 8 раз"

"talent_disc_modifier_antimage_void_4_0" "Каждая атака увеличивает максимальный запас маны цели на <b><font color='#297016'>4%</span></b>/<b><font color='#297016'>6%</span></b> от вашей максимальной маны<br><br>Эффект суммируется 8 раз"
"talent_disc_modifier_antimage_void_4_1" "Каждая атака увеличивает максимальный запас маны цели на <b><span class='green-text'>4%</span></b>/<b><font color='#297016'>6%</span></b> от вашей максимальной маны<br><br>Эффект суммируется 8 раз"
"talent_disc_modifier_antimage_void_4_2" "Каждая атака увеличивает максимальный запас маны цели на <b><font color='#297016'>4%</span></b>/<b><span class='green-text'>6%</span></b> от вашей максимальной маны<br><br>Эффект суммируется 8 раз"
"mini_disc_modifier_antimage_void_4" "Атаки увеличивают максимальный запас маны цели"



"font_disc_modifier_antimage_void_5" "18"
"upgrade_disc_modifier_antimage_void_5_1" "Перезарядка Mana Void сокращается на <b><span class='green-text'>5</span></b> секунд за каждые 500 маны, потраченные противниками неподалёку<br><br>В момент срабатывания, вы оглушаете всех противников на <b><span class='green-text'>0.3</span></b> секунды<br><br>Эффект также срабатывает от вашей потраченной маны"
"mini_disc_modifier_antimage_void_5" "Потраченная мана сокращает перезарядку Mana Void"



"DOTA_Tooltip_modifier_antimage_mana_void_custom_int"									"Mana Void"
"DOTA_Tooltip_modifier_antimage_mana_void_custom_int_Description"						"Максимальный запас маны увеличен на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_MANA_BONUS%</span></b>"

"font_disc_modifier_antimage_void_6" "19"
"upgrade_disc_modifier_antimage_void_6_1" "Перед нанесением урона, Mana Void отключает пассивные способности цели и замедляет ее на <b><span class='green-text'>80%</span></b><br><br>Длительность: 4 секунды"
"mini_disc_modifier_antimage_void_6" "Mana Void отключает пассивные способности и замедляет"


"DOTA_Tooltip_modifier_antimage_mana_void_custom_slow"									"Mana Void"
"DOTA_Tooltip_modifier_antimage_mana_void_custom_slow_Description"						"Скорость передвижения снижена на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%</span></b>"


"font_disc_modifier_antimage_void_7" "17"
"upgrade_disc_modifier_antimage_void_7" "Новая способность<br>Перезарядка: 25 секунд<br><br>Накладывает печать на выбранную цель на <b><span class='orange-text'>8</span></b> секунд<br><br>Если под действием печати, противник использует заклинание, он лишится <b><span class='orange-text'>15%</span></b> маны и получит равное количество магического урона"
"mini_disc_modifier_antimage_void_7" "Новая способность: Запрещает противнику применять заклинания"

"DOTA_Tooltip_modifier_antimage_mana_void_custom_legendary"									"Spell Seal"
"DOTA_Tooltip_modifier_antimage_mana_void_custom_legendary_Description"						"Применение способностей нанесет магический урон"



